FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;
26/feb/2021;7,70922; 25,10 ; 24,30 ; 20,50 ; 14,99 ; 116,00 ; 4,64 ;
27/feb/2021;7,70922; 25,10 ; 24,30 ; 20,50 ; 14,99 ; 116,00 ; 4,64 ;
28/feb/2021;7,70922; 25,10 ; 24,30 ; 20,50 ; 14,99 ; 116,00 ; 4,64 ;
01/mar/2021;7,70606; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
02/mar/2021;7,70271; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
03/mar/2021;7,70784; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
04/mar/2021;7,71007; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
05/mar/2021;7,71553; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
06/mar/2021;7,71553; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
07/mar/2021;7,71553; 25,85 ; 25,05 ; 20,86 ; 15,54 ; 116,00 ; 4,64 ;
08/mar/2021;7,71276; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 116,00 ; 4,64 ;
09/mar/2021;7,71698; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 116,00 ; 4,64 ;
10/mar/2021;7,73021; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 116,00 ; 4,64 ;
11/mar/2021;7,72378; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 118,00 ; 4,72 ;
12/mar/2021;7,73057; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 120,00 ; 4,80 ;
13/mar/2021;7,73057; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 120,00 ; 4,80 ;
14/mar/2021;7,73057; 26,60 ; 25,81 ; 21,31 ; 15,79 ; 120,00 ; 4,80 ;
15/mar/2021;7,72429; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
16/mar/2021;7,72084; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
17/mar/2021;7,72462; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
18/mar/2021;7,72059; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
19/mar/2021;7,72156; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
20/mar/2021;7,72156; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
21/mar/2021;7,72156; 27,27 ; 26,47 ; 21,68 ; 15,79 ; 120,00 ; 4,80 ;
22/mar/2021;7,72274; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
23/mar/2021;7,72002; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
24/mar/2021;7,72758; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
25/mar/2021;7,72719; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
26/mar/2021;7,72379; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
27/mar/2021;7,72379; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
28/mar/2021;7,72379; 27,02 ; 26,22 ; 21,41 ; 15,79 ; 120,00 ; 4,80 ;
29/mar/2021;7,72267; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
30/mar/2021;7,71990; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
31/mar/2021;7,71498; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
01/abr/2021;7,71498; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
02/abr/2021;7,71498; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
03/abr/2021;7,71498; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
04/abr/2021;7,71498; 26,35 ; 25,56 ; 20,80 ; 15,59 ; 120,00 ; 4,80 ;
05/abr/2021;7,71790; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
06/abr/2021;7,72277; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
07/abr/2021;7,71815; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
08/abr/2021;7,71725; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
09/abr/2021;7,72209; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
10/abr/2021;7,72209; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
11/abr/2021;7,72209; 26,45 ; 25,66 ; 20,71 ; 15,59 ; 120,00 ; 4,80 ;
12/abr/2021;7,71748; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
13/abr/2021;7,71454; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
14/abr/2021;7,71791; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
15/abr/2021;7,71877; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
16/abr/2021;7,71832; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
17/abr/2021;7,71832; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
18/abr/2021;7,71832; 26,97 ; 26,17 ; 20,43 ; 15,44 ; 120,00 ; 4,80 ;
19/abr/2021;7,71216; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
20/abr/2021;7,71103; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
21/abr/2021;7,71206; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
22/abr/2021;7,71432; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
23/abr/2021;7,71463; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
24/abr/2021;7,71463; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
25/abr/2021;7,71463; 27,00 ; 26,20 ; 20,59 ; 16,14 ; 120,00 ; 4,80 ;
26/abr/2021;7,71238; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
27/abr/2021;7,71167; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
28/abr/2021;7,71934; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
29/abr/2021;7,71649; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
30/abr/2021;7,71812; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
01/may/2021;7,71812; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
02/may/2021;7,71812; 27,27 ; 26,49 ; 20,87 ; 16,44 ; 120,00 ; 4,80 ;
03/may/2021;7,71812; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
04/may/2021;7,71336; 27,29 ; 26,49 ; 21,12 ; 16,44 ; 120,00 ; 4,80 ;
