;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;
;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;
21/feb/2022;7,69849; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
22/feb/2022;7,70788; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
23/feb/2022;7,70468; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
24/feb/2022;7,71285; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
25/feb/2022;7,71690; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
26/feb/2022;7,71690; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
27/feb/2022;7,71690; 33,50 ; 32,70 ; 29,88 ; 20,35 ; 122,00 ; 4,88 ;;;
28/feb/2022;7,71322; 33,88 ; 33,29 ; 30,09 ; 20,00 ; 122,00 ; 4,88 ;;;
01/mar/2022;7,70440; 33,88 ; 33,29 ; 30,09 ; 20,00 ; 142,00 ; 5,68 ;;;
02/mar/2022;7,70543; 33,88 ; 33,29 ; 30,09 ; 20,00 ; 142,00 ; 5,68 ;;;
03/mar/2022;7,71199; 35,99 ; 35,39 ; 33,09 ; 20,00 ; 142,00 ; 5,68 ;;;
04/mar/2022;7,71002; 35,99 ; 35,39 ; 33,09 ; 20,00 ; 142,00 ; 5,68 ;;;
05/mar/2022;7,71002; 35,99 ; 35,39 ; 33,09 ; 20,00 ; 142,00 ; 5,68 ;;;
06/mar/2022;7,71002; 35,99 ; 35,39 ; 33,09 ; 20,00 ; 142,00 ; 5,68 ;;;
07/mar/2022;7,70431; 37,98 ; 37,39 ; 36,09 ; 21,90 ; 142,00 ; 5,68 ;;;
08/mar/2022;7,69932; 37,98 ; 37,39 ; 36,09 ; 21,90 ; 142,00 ; 5,68 ;;;
09/mar/2022;7,70110; 39,99 ; 39,42 ; 40,25 ; 21,90 ; 147,00 ; 5,88 ;;;
10/mar/2022;7,70164; 39,99 ; 39,42 ; 40,25 ; 21,90 ; 147,00 ; 5,88 ;;;
11/mar/2022;7,70105; 39,99 ; 39,42 ; 40,25 ; 21,90 ; 147,00 ; 5,88 ;;;
12/mar/2022;7,70105; 39,99 ; 39,42 ; 40,25 ; 21,90 ; 147,00 ; 5,88 ;;;
13/mar/2022;7,70105; 37,98 ; 37,39 ; 35,48 ; 21,90 ; 147,00 ; 5,88 ;;;
14/mar/2022;7,69793; 37,98 ; 37,39 ; 35,48 ; 24,96 ; 147,00 ; 5,88 ;;;
15/mar/2022;7,69146; 37,98 ; 37,39 ; 35,48 ; 24,96 ; 147,00 ; 5,88 ;;;
16/mar/2022;7,69510; 38,00 ; 37,39 ; 35,70 ; 24,60 ; 147,00 ; 5,88 ;;;
17/mar/2022;7,69380; 38,00 ; 37,39 ; 35,70 ; 24,60 ; 147,00 ; 5,88 ;;;
18/mar/2022;7,69159; 38,00 ; 37,39 ; 35,70 ; 24,60 ; 142,00 ; 5,68 ;;;
19/mar/2022;7,69159; 38,00 ; 37,39 ; 35,70 ; 24,60 ; 142,00 ; 5,68 ;;;
20/mar/2022;7,69159; 38,00 ; 37,39 ; 35,70 ; 24,60 ; 142,00 ; 5,68 ;;;
21/mar/2022;7,68837; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
22/mar/2022;7,68464; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
23/mar/2022;7,68438; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
24/mar/2022;7,68270; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
25/mar/2022;7,68169; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
26/mar/2022;7,68169; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
27/mar/2022;7,68169; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
28/mar/2022;7,67889; 38,09 ; 34,47 ; 35,66 ; 22,70 ; 142,00 ; 5,68 ;;;
