;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;;
;;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;;
19/mar/2024;7,79934; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
20/mar/2024;7,79631; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
21/mar/2024;7,79873; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
22/mar/2024;7,80164; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
23/mar/2024;7,80164; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
24/mar/2024;7,80164; 34,46 ; 32,96 ; 29,56 ; 18,89 ; 115,00 ; 4,60 ;;;;
25/mar/2024;7,79277; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
26/mar/2024;7,79012; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
27/mar/2024;7,79165; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
28/mar/2024;7,79165; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
29/mar/2024;7,79165; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
30/mar/2024;7,79165; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
31/mar/2024;7,79165; 34,95 ; 33,40 ; 29,48 ; 19,59 ; 115,00 ; 4,60 ;;;;
01/abr/2024;7,79234; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
02/abr/2024;7,78814; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
03/abr/2024;7,79092; 34,98 ; 33,48 ; 29,48 ; 17,89 ; 115,00 ; 4,60 ;;;;
