FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
23/feb/2023;7,81696; 33,74 ; 32,24 ; 32,14 ; 15,93 ; 135,00 ; 5,40 ;;;;
24/feb/2023;7,81790; 33,74 ; 32,24 ; 32,14 ; 15,93 ; 135,00 ; 5,40 ;;;;
25/feb/2023;7,81790; 33,74 ; 32,24 ; 32,14 ; 15,93 ; 135,00 ; 5,40 ;;;;
26/feb/2023;7,81790; 33,74 ; 32,24 ; 32,14 ; 15,93 ; 135,00 ; 5,40 ;;;;
27/feb/2023;7,81549; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
28/feb/2023;7,81493; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
01/mar/2023;7,81525; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
02/mar/2023;7,81859; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
03/mar/2023;7,81359; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
04/mar/2023;7,81359; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
05/mar/2023;7,81359; 33,33 ; 31,84 ; 31,11 ; 15,58 ; 135,00 ; 5,40 ;;;;
06/mar/2023;7,81199; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
07/mar/2023;7,80397; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
08/mar/2023;7,80973; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
09/mar/2023;7,80754; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
10/mar/2023;7,80715; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
11/mar/2023;7,80715; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
12/mar/2023;7,80715; 33,30 ; 31,80 ; 31,00 ; 16,58 ; 135,00 ; 5,40 ;;;;
13/mar/2023;7,79947; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 135,00 ; 5,40 ;;;;
14/mar/2023;7,79731; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 135,00 ; 5,40 ;;;;
15/mar/2023;7,79834; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 135,00 ; 5,40 ;;;;
16/mar/2023;7,80412; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 115,00 ; 4,60 ;;;;
17/mar/2023;7,80243; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 115,00 ; 4,60 ;;;;
18/mar/2023;7,80243; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 115,00 ; 4,60 ;;;;
19/mar/2023;7,80243; 33,77 ; 32,18 ; 31,01 ; 16,82 ; 115,00 ; 4,60 ;;;;
20/mar/2023;7,79631; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
21/mar/2023;7,79352; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
22/mar/2023;7,80256; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
23/mar/2023;7,80387; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
24/mar/2023;7,80518; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
25/mar/2023;7,80518; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
26/mar/2023;7,80518; 33,04 ; 31,45 ; 30,63 ; 15,82 ; 115,00 ; 4,60 ;;;;
27/mar/2023;7,79869; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
28/mar/2023;7,79912; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
29/mar/2023;7,80317; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
30/mar/2023;7,80234; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
31/mar/2023;7,80335; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
01/abr/2023;7,80335; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
02/abr/2023;7,80335; 33,49 ; 31,88 ; 30,01 ; 16,12 ; 115,00 ; 4,60 ;;;;
03/abr/2023;7,79691; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
04/abr/2023;7,79431; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
05/abr/2023;7,79329; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
06/abr/2023;7,79329; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
07/abr/2023;7,79329; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
08/abr/2023;7,79329; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
09/abr/2023;7,79329; 34,46 ; 32,86 ; 30,02 ; 17,62 ; 115,00 ; 4,60 ;;;;
10/abr/2023;7,79921; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
11/abr/2023;7,79501; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
12/abr/2023;7,79866; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
13/abr/2023;7,79625; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
14/abr/2023;7,80261; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
15/abr/2023;7,80261; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
16/abr/2023;7,80261; 34,99 ; 33,40 ; 30,00 ; 18,82 ; 115,00 ; 4,60 ;;;;
17/abr/2023;7,80060; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
18/abr/2023;7,79670; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
19/abr/2023;7,79898; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
20/abr/2023;7,79925; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
21/abr/2023;7,79964; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
22/abr/2023;7,79964; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
23/abr/2023;7,79964; 35,98 ; 34,36 ; 29,78 ; 19,12 ; 115,00 ; 4,60 ;;;;
24/abr/2023;7,79702; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
25/abr/2023;7,79572; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
26/abr/2023;7,80198; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
27/abr/2023;7,80424; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
28/abr/2023;7,80826; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
29/abr/2023;7,80826; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
30/abr/2023;7,80826; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
01/may/2023;7,80826; 35,91 ; 34,31 ; 29,32 ; 18,67 ; 115,00 ; 4,60 ;;;;
02/may/2023;7,80055; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
03/may/2023;7,80673; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
04/may/2023;7,80938; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
05/may/2023;7,80739; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
06/may/2023;7,80739; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
07/may/2023;7,80739; 35,08 ; 33,46 ; 28,43 ; 17,67 ; 115,00 ; 4,60 ;;;;
08/may/2023;7,80280; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
09/may/2023;7,80568; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
10/may/2023;7,80601; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
11/may/2023;7,80379; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
12/may/2023;7,80649; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
13/may/2023;7,80649; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
14/may/2023;7,80649; 34,31 ; 32,80 ; 27,68 ; 16,47 ; 115,00 ; 4,60 ;;;;
15/may/2023;7,80223; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
16/may/2023;7,80323; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
17/may/2023;7,80156; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
18/may/2023;7,80495; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
19/may/2023;7,80399; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
20/may/2023;7,80399; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
21/may/2023;7,80399; 33,49 ; 31,98 ; 27,02 ; 16,97 ; 115,00 ; 4,60 ;;;;
22/may/2023;7,80453; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
23/may/2023;7,80354; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
24/may/2023;7,80974; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
25/may/2023;7,81685; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
26/may/2023;7,82145; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
27/may/2023;7,82145; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
28/may/2023;7,82145; 33,35 ; 31,97 ; 27,01 ; 17,17 ; 115,00 ; 4,60 ;;;;
29/may/2023;7,82029; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
30/may/2023;7,82886; 33,30 ; 31,99 ; 27,00 ; 16,67 ; 115,00 ; 4,60 ;;;;
